Päivä;virtaama;Lippu
14.08.2023;3.91;2
15.08.2023;3.58;2
16.08.2023;3.48;2
17.08.2023;4.59;2
18.08.2023;3.77;2
19.08.2023;3.91;2
20.08.2023;4.22;2
21.08.2023;3.88;2
22.08.2023;4.23;2
23.08.2023;4.22;2
24.08.2023;6.26;2
25.08.2023;7.69;2
26.08.2023;7.08;2
27.08.2023;7.42;2
28.08.2023;16.24;2
29.08.2023;53.26;2
30.08.2023;39.31;2
31.08.2023;46.83;2
01.09.2023;53.00;2
02.09.2023;38.99;2
03.09.2023;41.79;2
04.09.2023;35.09;2
05.09.2023;27.66;2
06.09.2023;24.10;2
07.09.2023;18.47;2
08.09.2023;15.01;2
09.09.2023;13.31;2
10.09.2023;11.43;2
11.09.2023;10.99;2
12.09.2023;9.86;2
13.09.2023;11.23;2
14.09.2023;18.20;2
15.09.2023;13.87;2
16.09.2023;10.44;2
17.09.2023;9.34;2
18.09.2023;9.24;2
19.09.2023;9.03;2
20.09.2023;12.52;2
21.09.2023;15.13;2
22.09.2023;12.75;2
23.09.2023;11.87;2
24.09.2023;15.26;2
25.09.2023;13.65;2
26.09.2023;11.11;2
27.09.2023;9.66;2
28.09.2023;9.48;2
29.09.2023;9.24;2
30.09.2023;10.04;2
01.10.2023;12.72;2
02.10.2023;11.43;2
03.10.2023;9.98;2
04.10.2023;44.41;2
05.10.2023;57.95;2
06.10.2023;39.77;2
07.10.2023;71.67;2
08.10.2023;79.72;2
09.10.2023;57.93;2
10.10.2023;45.56;2
11.10.2023;43.74;2
12.10.2023;60.80;2
13.10.2023;52.54;2
14.10.2023;50.90;2
15.10.2023;58.80;2
16.10.2023;52.03;2
17.10.2023;42.94;2
18.10.2023;35.20;2
19.10.2023;29.10;2
20.10.2023;24.90;2
21.10.2023;21.49;2
22.10.2023;19.34;2
23.10.2023;18.63;2
24.10.2023;17.29;2
25.10.2023;15.61;2
26.10.2023;14.29;2
27.10.2023;13.16;2
28.10.2023;12.50;2
29.10.2023;11.92;2
30.10.2023;11.27;2
31.10.2023;11.36;2
01.11.2023;34.63;2
02.11.2023;49.53;2
03.11.2023;40.85;2
04.11.2023;37.61;2
05.11.2023;48.54;2
06.11.2023;44.72;2
07.11.2023;39.34;2
08.11.2023;34.46;2
09.11.2023;30.71;2
10.11.2023;35.56;2
11.11.2023;57.21;2
12.11.2023;66.15;2
13.11.2023;77.69;2
14.11.2023;64.36;2
15.11.2023;53.66;2
16.11.2023;44.82;2
17.11.2023;37.53;2
18.11.2023;31.10;2
19.11.2023;26.84;2
20.11.2023;24.75;2
21.11.2023;22.62;2
22.11.2023;18.61;2
23.11.2023;19.14;2
24.11.2023;19.75;2
25.11.2023;15.73;2
26.11.2023;12.21;2
27.11.2023;11.62;2
28.11.2023;11.65;2
29.11.2023;12.20;2
30.11.2023;11.98;2
01.12.2023;11.56;
02.12.2023;11.13;
03.12.2023;10.37;
04.12.2023;9.80;
05.12.2023;9.52;
06.12.2023;9.08;
07.12.2023;8.66;
08.12.2023;8.60;
09.12.2023;8.54;
10.12.2023;8.42;
11.12.2023;8.29;
12.12.2023;8.22;
13.12.2023;8.30;
14.12.2023;8.27;
15.12.2023;8.21;
16.12.2023;8.12;
17.12.2023;9.16;
18.12.2023;9.64;
19.12.2023;12.56;
20.12.2023;17.12;
21.12.2023;16.52;
22.12.2023;15.20;
23.12.2023;14.43;
24.12.2023;14.10;
25.12.2023;13.47;
26.12.2023;12.77;
27.12.2023;12.10;
28.12.2023;11.52;
29.12.2023;11.21;
30.12.2023;11.22;
31.12.2023;11.03;
01.01.2024;9.98;
02.01.2024;10.17;
03.01.2024;10.08;
04.01.2024;9.75;
05.01.2024;9.52;
06.01.2024;9.26;
07.01.2024;8.81;
08.01.2024;8.50;
09.01.2024;8.22;
10.01.2024;7.60;
11.01.2024;7.23;
12.01.2024;7.33;
13.01.2024;7.37;
14.01.2024;7.34;
15.01.2024;7.37;
16.01.2024;7.30;
17.01.2024;7.09;
18.01.2024;7.14;
19.01.2024;7.25;
20.01.2024;7.60;
21.01.2024;8.42;
22.01.2024;8.57;
23.01.2024;10.48;
24.01.2024;16.58;
25.01.2024;19.18;
26.01.2024;17.10;
27.01.2024;15.05;
28.01.2024;13.83;
29.01.2024;14.57;
30.01.2024;15.35;
31.01.2024;15.29;
01.02.2024;17.38;
02.02.2024;19.03;
03.02.2024;18.30;
04.02.2024;17.30;
05.02.2024;16.01;
06.02.2024;14.23;
07.02.2024;13.04;
08.02.2024;12.09;
09.02.2024;11.28;
10.02.2024;10.66;
11.02.2024;9.98;
12.02.2024;9.51;
13.02.2024;9.07;
14.02.2024;8.84;
15.02.2024;8.58;
16.02.2024;8.61;
17.02.2024;17.86;
18.02.2024;24.41;
19.02.2024;22.36;
20.02.2024;20.63;
21.02.2024;19.22;
22.02.2024;17.82;
23.02.2024;21.37;2
24.02.2024;39.42;

